Dataname,Cyclic Group,Epoch,Train Accuracy,Train Loss,Test Accuracy,Test Loss
xView,1,0,10.091093117408906,9352.7119140625,3.1448114781448115,57903.796875
xView,1,1,16.475061903077467,9584.1513671875,4.868201534868201,51466.34765625
xView,1,2,20.33487114222081,9782.734375,6.7892892892892895,47053.1328125
xView,1,3,24.39220855301699,9912.861328125,12.701868535201868,44415.73828125
xView,1,4,26.926218350122515,10131.001953125,16.20286953620287,41357.05859375
xView,1,5,29.482161190965094,10183.4873046875,18.623623623623622,39367.4609375
xView,1,6,32.459235823801414,10254.2841796875,27.017017017017015,35395.1484375
xView,1,7,33.54911751045053,10400.3134765625,27.331498164831498,35067.48828125
xView,1,8,35.247271107150816,10478.189453125,25.246913580246915,33187.7421875
xView,1,9,36.34139784946237,10539.3359375,28.682849516182852,31831.68359375
xView,1,10,37.682291666666664,10588.244140625,28.123123123123122,32465.0546875
xView,1,11,38.664203280016196,10628.681640625,31.460627293960624,29971.619140625
xView,1,12,39.98473207249803,10642.0185546875,32.76276276276276,30362.83203125
xView,1,13,40.61660912926735,10682.4326171875,31.675842509175844,30914.77734375
xView,1,14,41.7959259951411,10695.7529296875,29.49783116449783,31610.546875
xView,1,15,42.973886048210375,10720.07421875,39.83983983983984,28383.326171875
xView,1,16,43.76227459382253,10700.205078125,40.323656990323656,27681.080078125
xView,1,17,45.2322738386308,10659.18359375,37.3314981648315,28022.11328125
xView,1,18,45.43881387796958,10686.869140625,41.9044044044044,27842.703125
xView,1,19,46.64685197588748,10685.6572265625,40.210210210210214,27261.63671875
xView,1,20,47.31262327416174,10608.6748046875,36.93777110443777,28033.271484375
xView,1,21,48.42867516540261,10578.87109375,41.375542208875544,26603.2734375
xView,1,22,49.36004121096846,10472.798828125,46.3988988988989,23798.220703125
xView,1,23,50.31921519775771,10455.7958984375,45.75658992325659,24814.701171875
xView,1,24,51.012323943661976,10383.4462890625,44.89072405739073,24583.37109375
xView,1,25,52.323342895968594,10185.1923828125,46.45228561895229,24858.224609375
xView,1,26,53.267024007247464,9950.5625,46.24541207874541,24857.345703125
xView,1,27,54.461724294126526,9712.9580078125,42.85452118785452,26234.107421875
xView,1,28,55.46768835874981,9490.5556640625,43.864698031364696,25601.83203125
xView,1,29,56.39815793447078,9232.79296875,52.65348682015348,22201.890625
xView,1,30,57.53434999245055,8968.8837890625,45.82749416082749,25835.8828125
xView,1,31,58.37422618148875,8771.9130859375,46.85268601935269,25212.416015625
xView,1,32,59.280160048316475,8519.0927734375,45.69903236569903,24062.0078125
xView,1,33,60.3200966329458,8313.8818359375,45.11094427761094,24620.875
xView,1,34,61.258115657557,8059.2802734375,47.247247247247245,24261.232421875
xView,1,35,61.95077759323569,7868.54296875,51.921087754421094,22126.3125
xView,1,36,63.20776083345916,7632.07421875,47.06206206206206,23779.0078125
xView,1,37,63.828703004680655,7468.919921875,47.49165832499166,24086.310546875
xView,1,38,64.72331269817303,7339.2724609375,49.10994327660994,23899.111328125
xView,1,39,65.6764306205647,7097.6923828125,48.01885218551885,23869.50390625
