Dataname,Cyclic Group,Epoch,Train Accuracy,Train Loss,Test Accuracy,Test Loss
rotmnist,1,38,97.525,16.10563087,94.164,147.5494232
rotmnist,1,39,97.44166667,15.67871475,93.722,155.6635132
rotmnist,1,40,97.89166667,14.44518948,94.482,135.7748871
rotmnist,1,41,97.6,15.34492588,95.022,127.6766052
rotmnist,1,42,97.59166667,14.82376385,93.96,149.0295258
rotmnist,1,43,97.71666667,14.65894794,94.06,149.6517487
rotmnist,1,44,97.59166667,14.49608898,94.638,135.3974152
rotmnist,1,45,97.65,13.93820477,94.542,139.6366425
rotmnist,1,46,97.79166667,13.78127956,94.226,145.8940735
rotmnist,1,47,97.9,13.1929903,94.136,147.5127258
rotmnist,1,48,97.81666667,13.54292202,94.562,133.6965485
rotmnist,1,49,97.83333333,13.16054726,94.028,148.3695831
rotmnist,1,50,97.875,12.89305878,95.72,109.1976318
rotmnist,1,51,97.90833333,12.75661564,94.492,137.9165344
rotmnist,1,52,98.01666667,12.59228897,94.956,126.1079483
rotmnist,1,53,98,12.07180977,94.318,140.2256317
rotmnist,1,54,97.95833333,11.84921646,94.982,123.232399
rotmnist,1,55,98.025,11.68692493,94.502,135.5054169
rotmnist,1,56,98.075,11.52638435,95.608,110.5605774
rotmnist,1,57,98.04166667,11.56911182,94.566,133.3655396
rotmnist,1,58,98.15,11.30068874,94.22,142.3796539
rotmnist,1,59,98.13333333,11.60017872,95.74,106.5944748
rotmnist,1,60,98.06666667,10.81127357,94.268,140.7668304
rotmnist,1,61,98.15833333,10.41011333,94.316,138.5525818
rotmnist,1,62,97.95833333,11.67584801,95.032,123.3065872
rotmnist,1,63,98.15833333,10.64334011,95.15,117.6510544
rotmnist,1,64,98.23333333,10.83954811,95.028,126.1454391
rotmnist,1,65,98.45,9.668162346,93.926,148.8567047
rotmnist,1,66,98.225,10.54468727,92.378,179.8925476
rotmnist,1,67,98.175,10.05018806,95.228,118.5997314
rotmnist,1,68,98.3,10.00115013,95.794,104.8240356
rotmnist,1,69,98.43333333,9.592021942,94.976,122.5371246
rotmnist,1,70,98.36666667,9.898346901,96.208,97.16228485
rotmnist,1,71,98.2,10.58492279,95.6,109.9208145
rotmnist,1,72,98.34166667,9.756310463,95.252,118.1832275
rotmnist,1,73,98.53333333,8.998720169,95.044,121.1013489
rotmnist,1,74,98.39166667,9.943201065,94.534,133.3269653
rotmnist,1,75,98.275,9.972257614,93.23,162.8905792
rotmnist,1,76,98.56666667,8.724256516,94.074,144.9968567
rotmnist,1,77,98.53333333,8.867432594,95.104,120.2687225
rotmnist,1,78,98.49166667,8.496058464,95.078,121.9410324
rotmnist,1,79,98.35833333,9.122402191,95.566,112.0291443
rotmnist,1,80,98.64166667,8.141732216,95.888,102.5887756
rotmnist,1,81,98.54166667,8.826589584,95.178,121.5047226
rotmnist,1,82,98.64166667,8.701363564,95.578,111.822403
rotmnist,1,83,98.76666667,7.793177128,96.438,91.31490326
rotmnist,1,84,98.50833333,8.436042786,95.324,113.9018097
rotmnist,1,85,98.525,8.544878006,95.268,118.9005966
rotmnist,1,86,98.65833333,7.840532303,94.9,122.1370468
rotmnist,1,87,98.58333333,7.822885036,94.004,142.6322784
rotmnist,1,88,98.58333333,8.555413246,95.552,110.5151367
rotmnist,1,89,98.73333333,7.704030037,95.928,101.2165298
rotmnist,1,90,98.75,7.379745483,95.714,104.6753998
rotmnist,1,91,98.55833333,8.474069595,95.238,116.2831268
rotmnist,1,92,98.65833333,7.424367428,96.01,100.0231934
rotmnist,1,93,98.68333333,7.995351791,94.92,126.56073
rotmnist,1,94,98.66666667,7.636641502,96.156,97.20766449
rotmnist,1,95,98.78333333,7.339773178,94.994,122.9400787
rotmnist,1,96,98.75,7.165606976,94.888,130.236908
rotmnist,1,97,98.8,6.953099251,95.112,120.2231827
rotmnist,1,98,98.475,8.078691483,95.26,117.5517349
rotmnist,1,99,98.79166667,7.272181988,94.908,124.4523544
rotmnist,8,0,85.24166667,169.504776,92.282,471.3519287
rotmnist,8,1,95.05,84.59812927,94.594,342.9283447
rotmnist,8,2,96.38333333,60.73732758,95.49,281.5021973
rotmnist,8,3,97.13333333,47.12825775,95.882,246.7596283
rotmnist,8,4,97.55,38.0147171,96.372,215.5022278
rotmnist,8,5,98.1,31.44443703,96.692,190.9570618
rotmnist,8,6,98.36666667,26.58374977,96.756,177.6043243
rotmnist,8,7,98.44166667,22.88313484,97.202,147.3570709
rotmnist,8,8,98.65833333,19.64679718,97.328,134.956955
rotmnist,8,9,98.90833333,16.79291725,97.464,125.513031
rotmnist,8,10,98.96666667,14.86706638,97.63,117.057106
rotmnist,8,11,99.15833333,13.1400013,97.81,100.6435471
rotmnist,8,12,99.24166667,11.54617119,97.886,97.46052551
rotmnist,8,13,99.35833333,10.14235401,97.984,89.68938446
rotmnist,8,14,99.49166667,8.97653389,97.846,92.56539154
rotmnist,8,15,99.5,8.000639915,97.784,91.99047852
rotmnist,8,16,99.49166667,7.313733578,97.824,89.15235138
rotmnist,8,17,99.69166667,6.444242001,97.964,83.19297791
rotmnist,8,18,99.63333333,5.867117882,97.848,79.77772522
rotmnist,8,19,99.6,5.577775002,97.816,79.98511505
rotmnist,8,20,99.675,4.921394825,97.744,80.7749939
rotmnist,8,21,99.63333333,4.432778835,97.846,79.08891296
rotmnist,8,22,99.71666667,4.140363216,97.556,83.79262543
rotmnist,8,23,99.74166667,3.849388361,97.838,72.83087158
rotmnist,8,24,99.73333333,3.496380806,97.736,77.5512085
rotmnist,8,25,99.76666667,3.496419907,97.208,86.61797333
rotmnist,8,26,99.76666667,2.890420198,97.466,78.93363953
rotmnist,8,27,99.84166667,2.461821318,98.048,57.93994904
rotmnist,8,28,99.84166667,2.404571533,97.982,61.70311356
rotmnist,8,29,99.84166667,2.295579672,97.57,74.65328217
rotmnist,8,30,99.86666667,2.188370705,97.562,73.84772491
rotmnist,8,31,99.85,2.002807379,97.532,71.93241119
rotmnist,8,32,99.83333333,1.931336164,97.67,67.05334473
rotmnist,8,33,99.91666667,1.510494471,97.906,58.72278595
rotmnist,8,34,99.925,1.415220499,97.752,64.75202942
rotmnist,8,35,99.88333333,1.600856781,97.714,65.18464661
rotmnist,8,36,99.83333333,1.644444942,97.358,73.98832703
rotmnist,8,37,99.91666667,1.334986806,97.62,65.73130035
rotmnist,8,38,99.89166667,1.590760827,97.54,70.13208008
rotmnist,8,39,99.75833333,1.717429161,97.884,60.45322037
rotmnist,8,40,99.83333333,1.628432512,97.902,60.98580551
rotmnist,8,41,99.78333333,1.628367662,97.426,72.22519684
rotmnist,8,42,99.86666667,1.241698146,97.862,59.47956085
rotmnist,8,43,99.96666667,0.787731171,97.73,63.98407364
