Dataname,Cyclic Group,Epoch,Train Accuracy,Train Loss,Test Accuracy,Test Loss
DOTAv1.0,1,0,42.21264367816092,1611.7568359375,54.312257348863,5594.99609375
DOTAv1.0,1,1,56.16850551654965,1466.5167236328125,62.76691625069329,4328.57666015625
DOTAv1.0,1,2,62.938005390835585,1423.1820068359375,62.37867443150304,4432.68994140625
DOTAv1.0,1,3,65.53833605220228,1416.9971923828125,65.5990016638935,3963.1787109375
DOTAv1.0,1,4,69.36659192825113,1377.4837646484375,69.4675540765391,3564.50341796875
DOTAv1.0,1,5,71.33011716057891,1405.7076416015625,71.06211869107044,3426.569091796875
DOTAv1.0,1,6,73.47248880358286,1388.2724609375,70.39656128674432,3457.229736328125
DOTAv1.0,1,7,75.48478520286396,1386.0048828125,75.37090959511926,2884.00732421875
DOTAv1.0,1,8,76.9505033557047,1364.6961669921875,75.37437603993344,2867.341552734375
DOTAv1.0,1,9,78.05102577590742,1388.4490966796875,77.55130338325014,2610.31005859375
DOTAv1.0,1,10,79.07352210630899,1386.4798583984375,75.91167498613423,2689.36572265625
DOTAv1.0,1,11,80.11523988711194,1367.9036865234375,77.92914586799779,2586.638671875
DOTAv1.0,1,12,80.88695263628239,1365.10595703125,77.49237382140876,2593.839599609375
DOTAv1.0,1,13,81.86086214255228,1371.4383544921875,78.88241819190239,2323.79296875
DOTAv1.0,1,14,82.93082275890299,1333.5328369140625,79.68663338879645,2281.17919921875
DOTAv1.0,1,15,83.72984663782933,1330.0706787109375,79.84262340543539,2338.804443359375
DOTAv1.0,1,16,84.25644916540213,1332.5086669921875,80.255130338325,2175.5
DOTAv1.0,1,17,84.4851321585903,1351.4306640625,81.64864115363284,2040.57275390625
DOTAv1.0,1,18,85.33440056919245,1318.6600341796875,79.94661674986135,2222.322265625
DOTAv1.0,1,19,85.66493955094991,1316.1585693359375,81.41292290626734,2055.747802734375
DOTAv1.0,1,20,86.19107744107744,1306.0780029296875,81.17720465890183,2087.922119140625
DOTAv1.0,1,21,86.86781609195403,1251.4268798828125,82.39046034387133,1967.6551513671875
DOTAv1.0,1,22,87.12740384615385,1268.3309326171875,80.97268441486412,2076.2841796875
DOTAv1.0,1,23,87.58607198748044,1225.9713134765625,82.42512479201332,1987.181396484375
DOTAv1.0,1,24,88.10779816513762,1217.6951904296875,81.37825845812536,2061.52197265625
DOTAv1.0,1,25,88.41928251121077,1219.651611328125,83.18427620632279,1878.107177734375
DOTAv1.0,1,26,88.63976083707026,1188.622314453125,83.05601774819745,1879.4527587890625
DOTAv1.0,1,27,88.87144992526159,1142.78466796875,83.47545757071548,1875.5980224609375
DOTAv1.0,1,28,89.7832585949178,1056.8798828125,83.1738768718802,1935.286865234375
DOTAv1.0,1,29,89.9813153961136,1053.2989501953125,84.38713255684969,1743.7059326171875
DOTAv1.0,1,30,90.00747384155457,1035.62060546875,82.60191347753744,1955.5218505859375
DOTAv1.0,1,31,90.42227204783259,972.6539916992188,83.45119245701609,1863.998291015625
DOTAv1.0,1,32,90.54185351270553,965.3423461914062,84.22767609539656,1746.9061279296875
DOTAv1.0,1,33,90.94170403587444,930.1761474609375,83.78050471436495,1796.408935546875
DOTAv1.0,1,34,91.53961136023916,865.9752197265625,83.58638380476982,1845.6993408203125
DOTAv1.0,1,35,91.18834080717488,877.0304565429688,83.94689406544647,1812.0677490234375
DOTAv1.0,1,36,91.62182361733932,840.0282592773438,85.1116195230172,1704.7115478515625
DOTAv1.0,1,37,91.99551569506727,814.90625,84.48765945646144,1784.771484375
DOTAv1.0,1,38,91.9693572496263,823.2859497070312,83.73197448696617,1854.745361328125
DOTAv1.0,1,39,92.43273542600897,772.3097534179688,84.94869661674986,1730.1268310546875
DOTAv1.0,1,40,92.41778774289985,772.0722045898438,83.74237382140876,1852.6873779296875
DOTAv1.0,1,41,92.74663677130044,733.5036010742188,84.08555185801441,1819.9072265625
DOTAv1.0,1,42,92.92600896860986,722.9839477539062,84.95216306156405,1733.604736328125
DOTAv1.0,1,43,92.97085201793722,713.6285400390625,85.02495840266224,1729.4593505859375
DOTAv1.0,1,44,93.39686098654708,682.3526611328125,84.78924015529672,1798.6138916015625
DOTAv1.0,1,45,93.18011958146487,687.4559326171875,84.8620354963949,1793.2115478515625
DOTAv1.0,1,46,93.58744394618834,644.5213012695312,85.47559622850804,1709.675048828125
DOTAv1.0,1,47,93.68086696562033,646.442138671875,84.96256239600666,1744.9217529296875
DOTAv1.0,1,48,93.78550074738415,644.266845703125,85.05268996117582,1750.386962890625
DOTAv1.0,1,49,93.48654708520179,658.59619140625,85.090820854132,1737.1553955078125
DOTAv1.0,1,50,94.06576980568012,612.153564453125,84.92443150305047,1777.75439453125
DOTAv1.0,1,51,93.93124065769805,598.6631469726562,85.02495840266224,1776.370361328125
DOTAv1.0,1,52,94.18161434977578,592.1365356445312,84.74070992789795,1783.883056640625
DOTAv1.0,1,53,94.26382660687594,588.087890625,85.52412645590682,1741.460205078125
DOTAv1.0,1,54,94.36472346786248,571.4451293945312,85.56572379367721,1752.2003173828125
DOTAv1.0,1,55,94.49177877428998,564.1513061523438,85.41666666666666,1758.3804931640625
DOTAv1.0,1,56,94.28251121076234,573.5916748046875,85.77717692734332,1732.55615234375
DOTAv1.0,1,57,94.71599402092676,539.2159423828125,85.73211314475874,1723.0736083984375
DOTAv1.0,1,58,94.53288490284007,541.0335693359375,85.11508596783139,1803.5941162109375
DOTAv1.0,1,59,94.78325859491778,519.7359008789062,85.75291181364393,1730.4246826171875
