Cyclic Group,Epoch,Train Accuracy,Train Loss,Test Accuracy,Test Loss
1,23,87.03413717507047,1300.895751953125,80.77483351831299,2254.864501953125
1,24,87.67212362301102,1262.611328125,82.59225860155382,2017.420166015625
1,25,87.88513311396949,1286.3890380859375,82.9772475027747,2004.9725341796875
1,26,88.0522235225278,1269.4559326171875,83.19922308546059,1905.11328125
1,27,88.28013169195535,1268.2630615234375,81.63498890122086,2140.55859375
1,28,88.87331838565022,1246.509765625,82.15177580466148,2078.16845703125
1,29,89.33571232500687,1225.4847412109375,83.82006104328525,1905.725341796875
1,30,89.24825174825175,1244.1309814453125,83.08476692563818,1978.4378662109375
1,31,89.2894806221988,1240.1529541015625,82.68243618201998,2013.412353515625
1,32,90.00129265770424,1186.21240234375,83.76456714761376,1897.6497802734375
1,33,90.53702764392595,1171.1053466796875,84.26748057713651,1813.2510986328125
1,34,90.4927824788452,1170.1778564453125,83.83393451720312,1879.619873046875
1,35,90.87771805521623,1155.0625,83.52524972253053,1940.2557373046875
1,36,91.40475047984646,1106.5174560546875,84.9784961154273,1771.0947265625
1,37,91.51543719066699,1104.1455078125,83.74375693673696,1905.6822509765625
1,38,91.50069476609542,1120.2322998046875,83.0396781354051,1982.7191162109375
1,39,91.72831777828362,1117.9119873046875,85.09295227524973,1796.2886962890625
1,40,91.99306177260519,1110.5167236328125,84.72183684794673,1827.5242919921875
1,41,92.08397534668721,1086.0296630859375,84.99583795782463,1824.9454345703125
1,42,92.39389346037245,1073.274169921875,84.61084905660378,1827.4075927734375
1,43,92.27572981035584,1085.759521484375,84.62125416204216,1886.869384765625
1,44,92.74591023489933,1053.7288818359375,85.24209211986683,1792.5074462890625
1,45,92.63111707619244,1065.383544921875,84.98543285238624,1849.029296875
1,46,92.96190670197596,1045.517822265625,85.46406770255271,1786.0152587890625
1,47,93.22958567980692,1012.6017456054688,85.2004716981132,1798.9091796875
1,48,93.12922129519269,1024.8438720703125,85.65829633740289,1762.572021484375
